,SiO2_n,SiO2_k,SiO2_w,SiO2_wk
172,1.530367,0.000907,518.9803469999998,518.9803469999999
173,1.530214,0.000897,520.563904,520.563904
174,1.530062,0.0008880000000000002,522.147339,522.147339
175,1.529911,0.0008789999999999999,523.730774,523.730774
176,1.529762,0.0008699999999999999,525.314087,525.314087
177,1.529613,0.0008609999999999999,526.897339,526.897339
178,1.529467,0.000852,528.4805299999998,528.4805299999999
179,1.5293219999999998,0.0008439999999999999,530.0635990000002,530.0635990000001
180,1.529178,0.0008349999999999999,531.6466059999998,531.6466059999999
181,1.529035,0.0008269999999999999,533.229614,533.229614
182,1.528894,0.000819,534.8125,534.8125
183,1.5287540000000002,0.000811,536.395325,536.395325
184,1.528615,0.0008029999999999999,537.978027,537.978027
185,1.528477,0.000795,539.5606690000002,539.5606690000001
186,1.528341,0.000788,541.143311,541.143311
187,1.528206,0.00078,542.72583,542.72583
188,1.528072,0.000773,544.308228,544.308228
189,1.52794,0.0007650000000000001,545.890625,545.890625
190,1.527808,0.000758,547.472961,547.472961
191,1.527678,0.0007509999999999999,549.055115,549.055115
192,1.527549,0.0007440000000000001,550.637329,550.637329
193,1.527421,0.000737,552.2193599999998,552.2193599999999
194,1.5272940000000002,0.000731,553.801331,553.801331
195,1.527168,0.000724,555.38324,555.38324
196,1.527044,0.000717,556.965088,556.965088
197,1.52692,0.000711,558.5468139999998,558.5468139999999
198,1.526798,0.000704,560.128479,560.128479
199,1.526676,0.000698,561.710083,561.710083
200,1.526556,0.000692,563.291626,563.291626
201,1.526437,0.000686,564.8730469999998,564.8730469999999
202,1.526318,0.0006799999999999999,566.4544070000002,566.4544070000001
203,1.526201,0.000674,568.035645,568.035645
204,1.526085,0.000668,569.616821,569.616821
205,1.52597,0.000662,571.197937,571.197937
206,1.525855,0.000657,572.778992,572.778992
207,1.525742,0.000651,574.359924,574.359924
208,1.5256299999999998,0.000646,575.940796,575.940796
209,1.525518,0.00064,577.5216059999998,577.5216059999999
210,1.525408,0.0006349999999999999,579.102234,579.102234
211,1.525298,0.000629,580.682861,580.682861
212,1.525189,0.000624,582.263428,582.263428
213,1.525082,0.0006190000000000001,583.8438719999998,583.8438719999999
214,1.524975,0.000614,585.424194,585.424194
215,1.524869,0.000609,587.004517,587.004517
216,1.524764,0.000604,588.584656,588.584656
217,1.52466,0.000599,590.164795,590.164795
218,1.524556,0.000594,591.744751,591.744751
219,1.5244540000000002,0.00059,593.324707,593.324707
220,1.5243520000000002,0.000585,594.904602,594.904602
221,1.524251,0.00058,596.4843139999998,596.4843139999999
222,1.524151,0.000576,598.064026,598.064026
223,1.524052,0.000571,599.643555,599.643555
224,1.523954,0.000567,601.223022,601.223022
225,1.523856,0.000562,602.80249,602.80249
226,1.523759,0.000558,604.381775,604.381775
227,1.523663,0.000554,605.960999,605.960999
228,1.523568,0.00055,607.540161,607.540161
229,1.523473,0.000545,609.119202,609.119202
230,1.523379,0.000541,610.69812,610.69812
231,1.523286,0.000537,612.276978,612.276978
232,1.5231940000000002,0.000533,613.855774,613.855774
233,1.523103,0.000529,615.4344480000002,615.4344480000001
234,1.523012,0.000525,617.013062,617.013062
235,1.522922,0.000521,618.591553,618.591553
236,1.522832,0.000518,620.1699219999998,620.1699219999999
237,1.522743,0.0005139999999999999,621.74823,621.74823
238,1.522655,0.0005099999999999999,623.326477,623.326477
239,1.522568,0.0005059999999999999,624.904602,624.904602
240,1.522481,0.000503,626.482605,626.482605
241,1.5223950000000002,0.000499,628.0605469999998,628.0605469999999
242,1.52231,0.000496,629.638367,629.638367
243,1.522225,0.000492,631.216125,631.216125
244,1.522141,0.000489,632.793762,632.793762
245,1.522058,0.00048499999999999997,634.371277,634.371277
246,1.521975,0.000482,635.94873,635.94873
247,1.521893,0.000479,637.5261230000001,637.5261230000001
248,1.5218120000000002,0.000475,639.1033940000002,639.1033940000001
249,1.521731,0.000472,640.680542,640.680542
250,1.52165,0.000469,642.257568,642.257568
251,1.521571,0.000466,643.834595,643.834595
252,1.521492,0.000463,645.411438,645.411438
253,1.521413,0.000459,646.988159,646.988159
254,1.521335,0.00045599999999999997,648.564819,648.564819
255,1.521258,0.000453,650.1414179999998,650.1414179999999
256,1.521181,0.00045,651.717896,651.717896
257,1.521105,0.00044699999999999997,653.29425,653.29425
258,1.52103,0.0004440000000000001,654.870483,654.870483
259,1.520954,0.000442,656.446655,656.446655
260,1.52088,0.000439,658.022766,658.022766
261,1.520806,0.000436,659.598694,659.598694
262,1.520733,0.000433,661.174561,661.174561
263,1.52066,0.00043,662.750305,662.750305
264,1.520587,0.00042800000000000016,664.3259889999998,664.3259889999999
265,1.520516,0.000425,665.901489,665.901489
266,1.520444,0.00042199999999999996,667.476929,667.476929
267,1.520374,0.00042,669.052307,669.052307
268,1.520303,0.000417,670.627563,670.627563
269,1.520234,0.000414,672.202637,672.202637
270,1.5201639999999998,0.000412,673.77771,673.77771
271,1.520096,0.00040899999999999997,675.3526,675.3526
272,1.520027,0.000407,676.927368,676.927368
273,1.51996,0.000404,678.502075,678.502075
274,1.519892,0.00040199999999999996,680.076721,680.076721
275,1.519825,0.000399,681.651184,681.651184
276,1.519759,0.000397,683.225586,683.225586
277,1.519693,0.000395,684.7998660000002,684.7998660000001
278,1.519628,0.000392,686.3740230000002,686.3740230000001
279,1.519563,0.00039,687.94812,687.94812
280,1.519498,0.000388,689.522034,689.522034
281,1.519434,0.00038500000000000003,691.095825,691.095825
